epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,26390.7,1.01661,1.05062,1.2289,0.80701,0.74663,0.83862,0.58946,0.97768,0.8828,1.24302,0.001208,0.001208,0.001208
22,27643.5,1.01326,1.03147,1.22183,0.84318,0.71814,0.84049,0.60336,0.94719,0.8548,1.22638,0.0011684,0.0011684,0.0011684
23,28896.9,0.99615,1.0139,1.20744,0.83619,0.71559,0.83008,0.59177,0.95427,0.87843,1.22052,0.0011288,0.0011288,0.0011288
24,30150.3,0.9805,0.9999,1.19675,0.85421,0.73349,0.8504,0.60786,0.9219,0.81946,1.19891,0.0010892,0.0010892,0.0010892
25,31401.5,0.97456,0.99164,1.19676,0.82739,0.74363,0.84823,0.60523,0.92592,0.84132,1.21176,0.0010496,0.0010496,0.0010496
26,32654.3,0.96617,0.98486,1.19396,0.83192,0.73763,0.83895,0.59776,0.94597,0.84794,1.22768,0.00101,0.00101,0.00101
27,33928.8,0.96076,0.97398,1.19671,0.82902,0.7324,0.85014,0.60817,0.93555,0.82909,1.21025,0.0009704,0.0009704,0.0009704
28,35181.6,0.96181,0.95583,1.19047,0.8507,0.74363,0.85775,0.62118,0.91169,0.79595,1.19429,0.0009308,0.0009308,0.0009308
29,36439,0.93785,0.93706,1.1724,0.82575,0.73713,0.84928,0.61388,0.91873,0.8123,1.20775,0.0008912,0.0008912,0.0008912
30,37693.9,0.94545,0.93779,1.17862,0.85106,0.74103,0.85642,0.62396,0.90065,0.79241,1.19141,0.0008516,0.0008516,0.0008516
31,38950,0.9373,0.92419,1.17693,0.8548,0.75683,0.86863,0.6387,0.87152,0.76457,1.17588,0.000812,0.000812,0.000812
32,40202.8,0.91079,0.90783,1.15701,0.84737,0.75787,0.86325,0.63293,0.85906,0.77453,1.16323,0.0007724,0.0007724,0.0007724
33,41457.2,0.91193,0.90535,1.15899,0.86087,0.75371,0.86958,0.63353,0.89158,0.75672,1.18833,0.0007328,0.0007328,0.0007328
34,42711,0.90984,0.8906,1.15457,0.864,0.75005,0.86446,0.62785,0.89577,0.75884,1.19021,0.0006932,0.0006932,0.0006932
35,43971.5,0.89681,0.86795,1.14396,0.8601,0.756,0.87025,0.64263,0.8602,0.74763,1.16452,0.0006536,0.0006536,0.0006536
36,45230.6,0.88936,0.86572,1.14674,0.8569,0.76349,0.87231,0.64591,0.85669,0.72979,1.15438,0.000614,0.000614,0.000614
37,46490.9,0.88681,0.85878,1.14358,0.86453,0.76312,0.87134,0.64912,0.84792,0.73356,1.15884,0.0005744,0.0005744,0.0005744
38,47746.4,0.86875,0.84661,1.13564,0.88141,0.76349,0.8779,0.65904,0.83866,0.71448,1.14939,0.0005348,0.0005348,0.0005348
39,49003.4,0.86266,0.83536,1.12762,0.87898,0.7545,0.87734,0.65889,0.82562,0.71056,1.13929,0.0004952,0.0004952,0.0004952
40,50259,0.85396,0.83278,1.12896,0.87227,0.75787,0.87333,0.65715,0.83006,0.71737,1.14018,0.0004556,0.0004556,0.0004556
41,51502.8,0.77504,0.73683,1.07391,0.87359,0.77211,0.87949,0.65694,0.82938,0.71765,1.14532,0.000416,0.000416,0.000416
42,52742.3,0.74883,0.67987,1.05506,0.8744,0.77699,0.88369,0.66829,0.81653,0.69815,1.13672,0.0003764,0.0003764,0.0003764
43,53980.9,0.7422,0.68456,1.04795,0.85643,0.78486,0.87939,0.66528,0.80882,0.7049,1.13404,0.0003368,0.0003368,0.0003368
44,55224.6,0.72439,0.65559,1.03585,0.88396,0.76312,0.88008,0.66526,0.81689,0.69655,1.1396,0.0002972,0.0002972,0.0002972
45,56468,0.72246,0.64709,1.03687,0.85436,0.7931,0.88494,0.67706,0.7904,0.67952,1.11806,0.0002576,0.0002576,0.0002576
46,57709.5,0.70486,0.63905,1.02757,0.87975,0.78523,0.88816,0.67896,0.79907,0.67858,1.12433,0.000218,0.000218,0.000218
47,58952.5,0.70062,0.61742,1.02867,0.86467,0.79511,0.88875,0.67988,0.79084,0.67351,1.12036,0.0001784,0.0001784,0.0001784
48,60192.4,0.69618,0.61596,1.02105,0.8671,0.78991,0.88721,0.68074,0.78943,0.66051,1.12112,0.0001388,0.0001388,0.0001388
49,61437.3,0.68287,0.60595,1.01652,0.85407,0.7961,0.89022,0.68428,0.78697,0.66421,1.11888,9.92e-05,9.92e-05,9.92e-05
50,62679.3,0.6776,0.59609,1.0105,0.86799,0.78748,0.88752,0.68299,0.7841,0.66592,1.11712,5.96e-05,5.96e-05,5.96e-05
